222864,64.000,-63.400,43.528,7.498
222864,721.000,-706.200,50.053,11.524
223524,49.400,-51.500,95.601,2.503
223537,120.100,-119.500,7.552,2.556
223538,102.200,-100.500,7.741,3.160
226057,18.600,-19.400,29.092,1.467
226100,92.600,-87.000,30.337,3.314
226526,26.200,-24.400,32.409,1.240
227374,52.700,-52.900,10.614,2.782
230649,62.000,-62.000,62.797,6.446
232067,24.600,-24.800,3.096,0.467
233893,92.700,-80.700,72.452,12.808
234297,369.400,-346.400,29.695,8.789
236203,31.700,-32.300,3.187,2.161
236236,59.000,-57.600,76.341,3.055
237199,58.700,-63.700,19.692,0.640
237848,9.200,-9.800,10.614,3.158
239334,87.300,-89.200,23.908,7.848
239335,75.400,-82.300,31.991,8.478
239336,237.700,-240.100,195.351,47.759
244724,74.800,-81.000,54.820,8.254
247237,33.800,-33.800,4.764,0.724
248665,109.800,-111.800,14.416,2.942
248770,62.600,-61.800,295.939,2.449
248771,66.000,-69.000,306.213,2.712
249490,149.600,-142.600,309.039,38.833
250088,20.000,-19.000,7.231,0.586
254490,103.000,-103.000,74.257,11.148
256487,7.400,-7.800,8.447,0.441
256518,69.400,-69.500,36.195,3.354
256519,136.600,-133.800,35.113,3.758
257748,51.800,-52.400,34.591,9.010
257764,60.800,-67.000,47.132,8.809
257765,53.900,-56.800,39.815,7.475
257770,24.600,-24.600,14.839,1.578
257771,24.600,-24.600,14.851,1.608
258725,206.500,-208.100,159.288,58.175
259848,108.600,-110.500,127.461,9.266
260856,39.300,-39.200,85.265,1.092
260857,39.400,-40.800,81.380,1.581
260869,39.900,-35.200,85.668,2.548
260870,40.500,-35.800,85.767,2.465
260873,11.200,-11.300,24.649,0.299
260874,12.200,-11.700,24.607,0.341
260945,17.900,-18.900,9.942,1.406
260946,17.900,-19.000,9.890,1.467
261927,335.400,-349.400,63.426,18.232
263058,24.700,-25.100,16.451,1.307
264097,14.700,-14.700,7.193,0.665
264097,29.600,-29.600,7.150,0.673
264154,30.500,-30.600,154.558,2.754
264157,147.100,-138.000,9.050,5.389
264158,88.800,-85.700,159.196,6.848
264160,46.100,-43.800,102.773,7.014
264161,15.600,-15.600,2.076,0.187
264162,132.600,-133.600,78.179,9.377
264163,28.900,-29.600,0.442,3.138
264164,18.300,-18.300,32.979,0.792
264167,137.000,-138.000,14.603,6.487
264168,44.100,-41.900,97.866,2.865
264169,224.100,-223.900,155.775,25.464
264170,29.000,-29.000,2.066,1.233
264171,62.300,-60.800,9.477,3.248
264172,39.300,-39.200,3.528,2.146
264174,32.800,-31.700,25.118,1.634
264176,69.400,-76.800,8.389,2.275
264177,48.200,-48.200,160.520,8.828
264179,216.200,-220.400,78.281,15.245
264180,42.500,-42.300,78.886,3.740
264181,230.200,-229.300,96.018,25.351
264183,46.500,-66.800,137.347,3.622
274422,116.000,-113.600,21.736,6.735
267407,70.600,-64.400,86.954,4.056
272877,34.800,-42.200,121.478,4.408
267415,19.900,-23.300,2.181,1.062
271799,19.100,-22.100,121.527,4.436
267410,111.200,-110.600,64.355,9.849
267412,300.000,-311.800,206.706,35.824
264273,208.500,-219.400,30.225,20.721
264275,43.700,-42.800,39.647,5.790
264276,78.800,-106.600,22.376,13.345
264277,48.200,-50.600,11.010,1.515
264278,60.100,-55.800,109.751,2.459
264278,58.800,-54.100,109.939,2.550
265276,78.600,-92.900,89.851,13.820
265277,396.800,-396.800,269.359,40.536
265292,96.900,-97.300,13.432,6.684
265296,119.800,-121.600,75.791,27.450
265337,83.300,-80.900,8.162,4.565
265343,31.400,-35.600,224.663,2.740
265345,93.800,-94.200,12.943,5.833
265346,133.300,-133.200,201.176,28.429
265347,221.000,-221.000,117.831,46.223
265347,354.600,-355.600,89.207,49.190
265349,90.900,-103.100,160.780,13.113
265373,44.200,-44.200,10.509,1.303
266386,348.200,-349.800,174.287,34.020
266387,43.300,-43.500,76.600,5.090
266388,42.800,-42.000,26.170,2.644
266389,36.700,-37.200,10.741,3.640
266391,76.800,-70.000,121.077,8.644
266392,99.600,-99.600,37.711,15.393
266394,47.900,-49.800,40.703,5.831
266394,96.300,-98.000,40.853,5.823
267424,210.200,-210.600,66.716,12.992
267425,103.400,-103.200,10.938,3.484
267427,579.400,-565.400,79.716,15.980
267432,183.800,-183.800,136.002,24.771
267471,135.700,-135.800,30.009,13.774
268468,68.600,-67.800,50.086,1.838
268470,53.800,-50.600,21.377,1.192
268474,34.800,-34.500,9.599,1.384
268476,337.400,-336.100,340.718,72.709
268539,24.600,-25.600,129.840,0.625
268539,24.600,-25.600,129.840,0.625
268550,126.400,-126.200,80.408,14.890
268551,160.600,-160.000,45.058,16.772
268552,87.800,-97.600,26.335,4.062
268553,99.800,-97.200,43.833,8.930
268554,141.000,-141.000,70.321,8.921
268555,86.600,-85.400,23.521,4.588
268556,40.500,-40.500,15.160,4.513
268557,9.000,-9.600,10.569,3.130
268560,16.000,-15.000,23.699,2.937
268570,207.100,-207.100,62.899,20.878
268571,142.000,-142.100,14.463,16.044
268624,236.000,-239.200,90.498,15.554
268626,164.800,-166.500,104.956,36.549
268629,108.000,-115.000,27.249,5.645
268674,209.800,-207.200,74.016,35.618
270752,34.800,-32.700,24.974,6.258
270753,208.800,-210.800,106.092,12.232
270754,532.500,-512.100,224.388,47.615
270817,89.400,-126.600,5.569,13.935
270844,54.600,-60.400,19.763,4.164
270848,59.600,-60.100,9.543,4.488
270849,117.100,-116.900,124.022,14.472
270850,1247.800,-1249.400,129.636,48.547
271791,88.600,-88.600,10.311,1.387
271794,160.700,-161.200,73.913,8.282
271798,92.800,-95.800,11.333,2.156
271799,19.100,-22.100,121.527,4.436
271800,369.400,-346.400,29.695,8.789
271801,524.800,-525.200,31.485,17.637
271807,73.200,-74.000,8.440,2.711
272877,45.400,-51.600,125.184,5.360
273236,70.700,-72.300,26.929,7.441
273370,128.800,-127.300,33.976,13.399
274420,88.600,-86.500,75.827,11.427
274420,135.000,-134.800,90.575,16.556
274422,110.200,-107.000,17.684,6.996
274441,104.600,-104.900,21.759,6.067
274442,34.900,-34.900,17.276,6.437
274443,133.800,-136.000,32.985,11.949
275005,51.500,-51.300,10.124,1.821
275006,107.100,-106.200,10.516,1.897
275007,166.400,-167.800,10.554,1.967
275077,229.200,-226.400,78.188,14.654
276070,18.600,-19.300,29.148,1.442
276081,994.200,-995.200,284.661,19.440
258711,170.100,-170.200,57.759,4.578
149621,170.100,-170.200,57.759,4.578
182611,170.100,-170.200,57.759,4.578
118857,170.100,-170.200,57.759,4.578
217772,170.100,-170.200,57.759,4.578
120138,564.400,-589.200,14.110,11.961
154291,564.400,-589.200,14.110,11.961
195956,564.400,-589.200,14.110,11.961
118810,564.400,-589.200,14.110,11.961
228247,564.400,-589.200,14.110,11.961
150185,781.400,-774.800,72.946,22.495
91941,781.400,-774.800,72.946,22.495
120669,781.400,-774.800,72.946,22.495
217574,842.400,-845.200,163.310,93.978
182784,842.400,-845.200,163.310,93.978
151315,305.300,-309.700,49.325,17.660
220934,305.300,-309.700,49.325,17.660
162515,305.300,-309.700,49.325,17.660
226082,305.300,-309.700,49.325,17.660
240904,663.800,-655.400,28.778,24.574
199677,663.800,-655.400,28.778,24.574
125825,663.800,-655.400,28.778,24.574
167696,663.800,-655.400,28.778,24.574
243446,589.200,-582.400,53.812,17.328
206859,589.200,-582.400,53.812,17.328
242344,522.800,-567.900,12.015,10.004
166900,522.800,-567.900,12.015,10.004
202629,522.800,-567.900,12.015,10.004
86145,522.800,-567.900,12.015,10.004
135173,522.800,-567.900,12.015,10.004
240024,530.600,-516.200,78.534,9.201
201121,530.600,-516.200,78.534,9.201
104938,530.600,-516.200,78.534,9.201
134512,530.600,-516.200,78.534,9.201
166716,530.600,-516.200,78.534,9.201
105226,497.800,-496.900,38.347,5.755
134995,497.800,-496.900,38.347,5.755
166876,497.800,-496.900,38.347,5.755
261917,310.700,-310.700,60.325,9.069
182692,310.700,-310.700,60.325,9.069
217741,310.700,-310.700,60.325,9.069
118874,310.700,-310.700,60.325,9.069
149685,310.700,-310.700,60.325,9.069
226631,342.500,-340.000,18.647,7.428
117156,342.500,-340.000,18.647,7.428
181388,342.500,-340.000,18.647,7.428
217580,342.500,-340.000,18.647,7.428
148294,342.500,-340.000,18.647,7.428
201072,423.600,-422.700,78.794,13.228
86144,423.600,-422.700,78.794,13.228
134477,423.600,-422.700,78.794,13.228
166681,423.600,-422.700,78.794,13.228
134454,437.800,-431.400,68.778,10.107
166664,437.800,-431.400,68.778,10.107
104796,437.800,-431.400,68.778,10.107
227882,437.800,-431.400,68.778,10.107
97084,261.200,-264.900,22.173,6.685
120140,261.200,-264.900,22.173,6.685
219600,261.200,-264.900,22.173,6.685
177416,261.200,-264.900,22.173,6.685
105147,516.600,-508.800,49.716,16.088
199104,516.600,-508.800,49.716,16.088
244717,516.600,-508.800,49.716,16.088
167118,516.600,-508.800,49.716,16.088
117803,842.400,-845.200,163.310,93.978
151325,842.400,-845.200,163.310,93.978
263025,838.300,-853.100,168.409,89.840
107579,663.000,-653.000,71.266,29.589
171678,663.000,-653.000,71.266,29.589
245718,663.000,-653.000,71.266,29.589
141984,663.000,-653.000,71.266,29.589
